"date","region","new_cases","total"
2020-11-24,"Tskhinvali Region",18,1792
2020-11-25,"Abkhazia",90,5648
2020-11-25,"Tskhinvali Region",0,1792
2020-11-26,"Abkhazia",84,5732
2020-11-26,"Tskhinvali Region",5,1797
2020-11-27,"Abkhazia",66,5798
2020-11-27,"Tskhinvali Region",18,1815
2020-11-28,"Abkhazia",85,5883
2020-11-28,"Tskhinvali Region",23,1838
2020-11-29,"Abkhazia",0,5883
2020-11-29,"Tskhinvali Region",0,1838
2020-11-30,"Abkhazia",87,5970
2020-11-30,"Tskhinvali Region",39,1877
2020-12-01,"Abkhazia",122,6092
2020-12-01,"Tskhinvali Region",0,1877
2020-12-02,"Abkhazia",112,6204
2020-12-02,"Tskhinvali Region",24,1901
2020-12-03,"Abkhazia",109,6313
2020-12-03,"Tskhinvali Region",35,1936
2020-12-04,"Abkhazia",87,6400
2020-12-04,"Tskhinvali Region",24,1960
2020-12-05,"Abkhazia",111,6511
2020-12-05,"Tskhinvali Region",34,1994
2020-12-06,"Abkhazia",0,6511
2020-12-06,"Tskhinvali Region",0,1994
2020-12-07,"Abkhazia",108,6619
2020-12-07,"Tskhinvali Region",0,1994
2020-12-08,"Abkhazia",98,6717
2020-12-08,"Tskhinvali Region",19,2013
2020-12-09,"Abkhazia",98,6815
2020-12-09,"Tskhinvali Region",39,2052
2020-12-10,"Abkhazia",109,6924
2020-12-10,"Tskhinvali Region",23,2075
2020-12-11,"Abkhazia",119,7043
2020-12-11,"Tskhinvali Region",16,2091
2020-12-12,"Abkhazia",93,7136
2020-12-12,"Tskhinvali Region",0,2091
2020-12-13,"Abkhazia",0,7136
2020-12-13,"Tskhinvali Region",0,2091
2020-12-14,"Abkhazia",133,7269
2020-12-14,"Tskhinvali Region",24,2115
2020-12-15,"Abkhazia",140,7409
2020-12-15,"Tskhinvali Region",0,2115
2020-12-16,"Abkhazia",95,7504
2020-12-16,"Tskhinvali Region",46,2161
2020-12-17,"Abkhazia",98,7602
2020-12-17,"Tskhinvali Region",19,2180
2020-12-18,"Abkhazia",102,7704
2020-12-18,"Tskhinvali Region",26,2206
2020-12-19,"Abkhazia",75,7779
2020-12-19,"Tskhinvali Region",0,2206
2020-12-20,"Abkhazia",0,7779
2020-12-20,"Tskhinvali Region",0,2206
2020-12-21,"Abkhazia",92,7871
2020-12-21,"Tskhinvali Region",35,2241
2020-12-22,"Abkhazia",140,8011
2020-12-22,"Tskhinvali Region",0,2241
2020-12-23,"Abkhazia",124,8135
2020-12-23,"Tskhinvali Region",21,2262
2020-12-24,"Abkhazia",101,8236
2020-12-24,"Tskhinvali Region",34,2296
2020-12-25,"Abkhazia",114,8350
2020-12-25,"Tskhinvali Region",13,2309
2020-12-26,"Abkhazia",109,8459
2020-12-26,"Tskhinvali Region",0,2309
2020-12-27,"Abkhazia",0,8459
2020-12-27,"Tskhinvali Region",0,2309
2020-12-28,"Abkhazia",104,8563
2020-12-28,"Tskhinvali Region",43,2352
